season,week,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Jacoby Brissett,QB,00-0033119,1.0,30.2,182.1,1.11,0.9,3.69,12.2,0.09,0.0,0.0,0.0,0.0,0.0849,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Bam Knight,RB,00-0037157,1.0,0.0,0.0,0.0,0.0,16.14,60.7,0.44,4.46,3.11,21.4,0.21,0.4772,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Emari Demercado,RB,00-0038705,1.0,0.0,0.0,0.0,0.0,8.97,34.2,0.15,2.78,1.82,12.5,0.13,0.2403,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Corey Kiner,RB,00-0040556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Michael Carter,RB,00-0036924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Trey McBride,TE,00-0037744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,4.51,28.8,0.28,0.2421,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Elijah Higgins,TE,00-0039041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,2.4,16.9,0.15,0.137,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Josiah Deguara,TE,00-0036332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Pharaoh Brown,TE,00-0033439,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Michael Wilson,WR,00-0038559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82,5.52,62.1,0.4,0.3306,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Arizona Cardinals,Andre Baccellia,WR,00-0035876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,4.33,52.0,0.3,0.261,64.0,32.95,28.8,217.5,123.8,1.6958833151581243,0.6612595419847328,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,C.J. Stroud,QB,00-0039163,1.0,34.6,217.3,1.82,0.9,5.0,17.1,0.19,0.0,0.0,0.0,0.0,0.1726,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Woody Marks,RB,00-0040583,1.0,0.0,0.0,0.0,0.0,15.3,57.7,0.68,3.92,2.45,19.9,0.33,0.6349,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Nick Chubb,RB,00-0034791,1.0,0.0,0.0,0.0,0.0,8.5,30.6,0.23,2.44,1.51,10.8,0.19,0.3453,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,British Brooks,RB,00-0039603,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Cody Schrader,RB,00-0039703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Dare Ogunbowale,RB,00-0033854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Dalton Schultz,TE,00-0034383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,3.72,27.9,0.45,0.3615,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Cade Stover,TE,00-0039359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,2.06,17.8,0.24,0.2163,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Dalton Keene,TE,00-0036225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,0.0,0.0
2025,15,2025_15_ARI_HOU,Houston Texans,Nico Collins,WR,00-0036554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,4.91,39.6,0.59,0.4463,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Jayden Higgins,WR,00-0040130,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,3.67,36.9,0.45,0.3642,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Xavier Hutchinson,WR,00-0038618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,2.1,21.3,0.29,0.252,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Braxton Berrios,WR,00-0034419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Christian Kirk,WR,00-0034775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ARI_HOU,Houston Texans,Daniel Jackson,WR,00-0040412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,0.0,0.0
2025,15,2025_15_ARI_HOU,Houston Texans,Jaylin Noel,WR,00-0040138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.672300981461287,1.0419847328244276,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Kirk Cousins,QB,00-0029604,1.0,35.35,224.2,1.58,0.9,2.92,9.9,0.08,0.0,0.0,0.0,0.0,0.0784,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Bijan Robinson,RB,00-0038542,1.0,0.0,0.0,0.0,0.0,16.64,59.7,0.55,3.9,2.63,17.6,0.25,0.5494,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Tyler Allgeier,RB,00-0037263,1.0,0.0,0.0,0.0,0.0,9.24,33.2,0.21,2.43,1.76,11.5,0.15,0.2973,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Nate Carter,RB,00-0040547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Kyle Pitts Sr.,TE,None,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,3.67,46.8,0.37,0.3119,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,0.0,0.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Charlie Woerner,TE,00-0036429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.95,18.1,0.18,0.1667,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Feleipe Franks,TE,00-0036825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Teagan Quitoriano,TE,00-0037277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Darnell Mooney,WR,00-0036309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77,4.27,41.3,0.44,0.3555,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,David Sills V,WR,None,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,3.77,56.5,0.37,0.306,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,0.0,0.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Dylan Drummond,WR,00-0038953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.47,30.8,0.25,0.221,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Chris Blair,WR,00-0036463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,Deven Thompkins,WR,00-0037487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Atlanta Falcons,KhaDarel Hodge,WR,00-0034854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.055616139585605,0.8015267175572519,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Tampa Bay Buccaneers,Baker Mayfield,QB,00-0034855,1.0,35.01,220.5,1.96,0.9,5.62,18.7,0.19,0.0,0.0,0.0,0.0,0.177,64.0,32.95,28.8,217.5,123.8,2.518129770992366,0.9818702290076335,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Tampa Bay Buccaneers,Bucky Irving,RB,00-0039361,1.0,0.0,0.0,0.0,0.0,14.9,55.3,0.61,4.0,3.05,18.0,0.31,0.6027,64.0,32.95,28.8,217.5,123.8,2.518129770992366,0.9818702290076335,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Tampa Bay Buccaneers,Rachaad White,RB,00-0037256,1.0,0.0,0.0,0.0,0.0,8.28,30.0,0.21,2.49,1.91,9.9,0.2,0.3346,64.0,32.95,28.8,217.5,123.8,2.518129770992366,0.9818702290076335,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Tampa Bay Buccaneers,Sean Tucker,RB,00-0038951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.518129770992366,0.9818702290076335,0.8236800000000001,1.0,1.0
2025,15,2025_15_ATL_TB,Tampa Bay Buccaneers,Payne Durham,TE,00-0039050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,3.8,36.8,0.43,0.3511,64.0,32.95,28.8,217.5,123.8,2.518129770992366,0.9818702290076335,0.8236800000000001,1.0,1.0
